[01:24:00] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[01:24:03] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:24:03] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:24:03] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:24:03] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:24:03] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:24:03] [main/INFO]: Reloading ResourceManager: Default
[01:24:12] [Worker-Main-2/INFO]: Loaded 7 recipes
[01:24:16] [Worker-Main-2/INFO]: Loaded 927 advancements
[01:24:27] [Server thread/INFO]: Starting minecraft server version 1.16.5
[01:24:27] [Server thread/INFO]: Loading properties
[01:24:27] [Server thread/INFO]: Default game type: SURVIVAL
[01:24:27] [Server thread/INFO]: Generating keypair
[01:24:28] [Server thread/INFO]: Starting Minecraft server on *:25565
[01:24:29] [Server thread/INFO]: Using epoll channel type
[01:24:30] [Server thread/INFO]: Preparing level "world"
[01:25:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:25:37] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:38] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:39] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:39] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:39] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:39] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:40] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:40] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:41] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:42] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:42] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:42] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:43] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:43] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:44] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:45] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:45] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:46] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:46] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:25:47] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:25:47] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:25:47] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:25:48] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:25:48] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:25:49] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:25:50] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:25:50] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:25:50] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:25:51] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[01:25:52] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[01:25:52] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[01:25:52] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[01:25:53] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[01:25:53] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[01:25:54] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[01:25:54] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[01:25:56] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[01:25:56] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[01:25:56] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[01:25:57] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[01:25:57] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:25:58] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:25:58] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:25:58] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:25:59] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:25:59] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:26:00] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:26:01] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:26:01] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[01:26:01] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[01:26:02] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[01:26:03] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[01:26:03] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[01:26:03] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[01:26:04] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[01:26:04] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[01:26:05] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[01:26:05] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[01:26:06] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[01:26:06] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[01:26:07] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[01:26:07] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[01:26:08] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[01:26:08] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[01:26:09] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[01:26:09] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[01:26:10] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[01:26:10] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[01:26:11] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[01:26:11] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[01:26:12] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[01:26:13] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[01:26:13] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[01:26:13] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[01:26:14] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[01:26:14] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[01:26:15] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[01:26:15] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[01:26:16] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[01:26:16] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[01:26:17] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[01:26:17] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[01:26:18] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[01:26:18] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[01:26:20] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[01:26:20] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[01:26:20] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[01:26:20] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[01:26:21] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[01:26:21] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[01:26:22] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[01:26:22] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[01:26:23] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[01:26:23] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[01:26:24] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[01:26:24] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[01:26:25] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[01:26:25] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[01:26:26] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[01:26:26] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[01:26:27] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[01:26:27] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[01:26:28] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[01:26:28] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[01:26:30] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[01:26:30] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[01:26:30] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[01:26:30] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[01:26:31] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[01:26:31] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[01:26:32] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[01:26:32] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[01:26:33] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[01:26:33] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:26:35] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:26:35] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:26:35] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:26:36] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:26:36] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:26:36] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:26:37] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:26:37] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[01:26:38] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[01:26:39] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[01:26:39] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[01:26:39] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[01:26:40] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[01:26:40] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[01:26:41] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[01:26:41] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[01:26:42] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[01:26:42] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[01:26:43] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[01:26:43] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[01:26:44] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[01:26:44] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[01:26:45] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[01:26:45] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[01:26:46] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[01:26:46] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[01:26:47] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[01:26:47] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[01:26:48] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[01:26:48] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[01:26:50] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[01:26:50] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[01:26:50] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[01:26:50] [Worker-Main-2/INFO]: Preparing spawn area: 21%
[01:26:51] [Worker-Main-2/INFO]: Preparing spawn area: 21%
[01:26:51] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[01:26:52] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[01:26:52] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[01:26:53] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[01:26:53] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[01:26:54] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[01:26:54] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[01:26:55] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[01:26:56] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[01:26:56] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[01:26:56] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[01:26:57] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[01:26:57] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[01:26:58] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[01:26:58] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[01:26:59] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[01:26:59] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[01:27:00] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[01:27:00] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[01:27:01] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[01:27:01] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[01:27:02] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[01:27:02] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[01:27:03] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[01:27:03] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[01:27:04] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[01:27:04] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[01:27:05] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[01:27:05] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[01:27:06] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[01:27:06] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[01:27:07] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[01:27:07] [Worker-Main-2/INFO]: Preparing spawn area: 29%
[01:27:08] [Worker-Main-2/INFO]: Preparing spawn area: 29%
[01:27:08] [Worker-Main-2/INFO]: Preparing spawn area: 29%
[01:27:09] [Worker-Main-2/INFO]: Preparing spawn area: 29%
[01:27:09] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[01:27:10] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[01:27:10] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[01:27:11] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[01:27:11] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[01:27:12] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[01:27:12] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[01:27:13] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[01:27:13] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[01:27:14] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[01:27:14] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[01:27:15] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[01:27:15] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[01:27:16] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:27:16] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:27:17] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:27:17] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:27:18] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:27:18] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:27:19] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:27:19] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:27:20] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:27:20] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[01:27:21] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[01:27:21] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[01:27:22] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[01:27:22] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[01:27:23] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[01:27:23] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[01:27:24] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[01:27:24] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[01:27:25] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[01:27:25] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[01:27:26] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[01:27:26] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[01:27:27] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[01:27:28] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[01:27:28] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[01:27:28] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[01:27:29] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[01:27:29] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[01:27:30] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[01:27:30] [Worker-Main-2/INFO]: Preparing spawn area: 39%
[01:27:31] [Worker-Main-2/INFO]: Preparing spawn area: 39%
[01:27:31] [Worker-Main-2/INFO]: Preparing spawn area: 39%
[01:27:32] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[01:27:32] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[01:27:33] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[01:27:33] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[01:27:34] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[01:27:34] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[01:27:35] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[01:27:35] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[01:27:36] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[01:27:36] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[01:27:37] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[01:27:37] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[01:27:38] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[01:27:38] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[01:27:39] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[01:27:39] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[01:27:40] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[01:27:40] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[01:27:41] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[01:27:41] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[01:27:42] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[01:27:42] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[01:27:43] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[01:27:43] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[01:27:44] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[01:27:44] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[01:27:45] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[01:27:45] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[01:27:46] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[01:27:46] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[01:27:47] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[01:27:47] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[01:27:48] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[01:27:48] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[01:27:49] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[01:27:49] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[01:27:50] [Worker-Main-2/INFO]: Preparing spawn area: 50%
[01:27:50] [Worker-Main-2/INFO]: Preparing spawn area: 50%
[01:27:51] [Worker-Main-2/INFO]: Preparing spawn area: 50%
[01:27:51] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[01:27:52] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[01:27:52] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[01:27:53] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[01:27:53] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[01:27:54] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[01:27:54] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[01:27:55] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[01:27:55] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[01:27:56] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[01:27:56] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[01:27:57] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[01:27:57] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[01:27:58] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[01:27:58] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[01:27:59] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[01:27:59] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[01:28:00] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[01:28:00] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[01:28:01] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[01:28:01] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[01:28:02] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[01:28:02] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[01:28:03] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[01:28:03] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[01:28:04] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[01:28:04] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[01:28:05] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[01:28:05] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[01:28:06] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[01:28:06] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[01:28:07] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[01:28:07] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[01:28:08] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[01:28:08] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[01:28:09] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[01:28:09] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[01:28:10] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[01:28:10] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[01:28:11] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[01:28:11] [Worker-Main-2/INFO]: Preparing spawn area: 65%
[01:28:12] [Worker-Main-2/INFO]: Preparing spawn area: 65%
[01:28:12] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[01:28:13] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[01:28:13] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[01:28:14] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[01:28:14] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[01:28:15] [Worker-Main-2/INFO]: Preparing spawn area: 67%
